rank,id,track_id,caption,clap_spread,key_tag,key_spread,winner,loser,af_delta,mf_delta,tradeoff,clap_musicgen_large,clap_stable_audio_3,clap_meanaudio,clap_acestep_1_5,mqa_qwen_musicgen_large,mqa_qwen_stable_audio_3,mqa_qwen_meanaudio,mqa_qwen_acestep_1_5
138,THhptTKMr9U,,This song contains someone playing ukulele along with a xylophone sound playing the melody along. A female voice is singing in a higher key sounding soulful. You can hear a rimshot sound. That sound is maybe coming from the ukulele. This song may be playing live entertaining your friends and family.,0.0869,vocal:female vocal,0.9738,meanaudio,musicgen_large,0.8790,0.6760,1,0.4265,0.5100,0.5134,0.4955,0.6207,0.8227,0.8402,0.6363
139,W7KbboEOmeM,,Someone is playing an e-guitar on top of another e-guitar. The guitar is full of reverb/echo. A soft drum/percussive pattern is playing along with a e-bassline. This song sounds dreamy due to the reverb and the slow melodic playing. This song may be playing in a live event.,0.0320,instrument:drum,0.7763,meanaudio,musicgen_large,0.7934,0.9902,1,0.3451,0.3640,0.3320,0.3493,0.5534,0.8556,0.8384,0.7062
140,TKSFbf-wQ8I,,"This song is an instrumental. The tempo is fast but as the audio quality is bad it is hard to hear the song well. The song is electronic music with a boomy, thumping drum beats, rhythmic vocalisation and electrical wave disturbance causing a screechy ,static sound. This song is an Electro Pop song.",0.0320,genre:electro pop,0.7923,musicgen_large,meanaudio,0.8649,0.9062,1,0.1876,0.1703,0.2024,0.1965,0.5904,0.5064,0.5877,0.4580
141,iZjIuV_cTe8,,This folk song features a reed instrument playing the main melody. A similar melody is played on a percussion instrument by a skilled percussionist. Another percussion instrument plays a tabla-sounding instrument. Cymbals also play a melody keeping time with the melody being played. The end of the song features an ascending run on the reed and the harmonized percussion.,0.0437,instrument:cymbals,0.8649,stable_audio_3,meanaudio,0.3393,-0.0880,1,0.4074,0.4308,0.4219,0.4511,0.5525,0.8486,0.6560,0.4403
142,r-PBeJiE5sc,,This is an instrumental percussion piece. There is a wide variety of percussion instruments. There is a marimba playing a playful melody. The acoustic drums and steel percussion provide the remainder of the rhythmic background. The atmosphere is lively and energetic. This piece could be used in the soundtrack of a comedy movie or TV show.,0.0453,mood_theme:energetic,0.7051,stable_audio_3,acestep_1_5,0.1111,-0.0587,1,0.4155,0.3844,0.3859,0.4297,0.8549,0.8622,0.8384,0.7809
143,5blPLHS0Cko,,This ambient song features a main melody played on a flute. It is accompanied by percussion playing beats on the bass drum only. A tambourine is played on one count in every bar. There are the sounds of chirping birds in the background. This song also has layers of synth playing tribal-style instruments. The mood is meditative. This song can be used in meditation or in a yoga session.,0.0518,context:meditation,0.8805,musicgen_large,acestep_1_5,0.1504,0.0792,1,0.3905,0.4210,0.3903,0.4421,0.8330,0.7400,0.7611,0.5819
144,ZCR7qJ2IgGI,,"The song is an instrumental. The tempo is medium with ambient sounds like a sawing tool sounds, guitar rhythm, bass guitar solo and a steady drumming with various percussion hits. The song is an advertisement jingle for a tool works company. The sound quality is average with ambient room sounds.",0.0586,instrument:guitar,0.7251,musicgen_large,acestep_1_5,0.6873,0.2762,1,0.2353,0.2490,0.2199,0.1904,0.7185,0.7156,0.5964,0.5006
145,7kEeYQx2VLE,,"This song features a trumpet playing the main melody. The melody is like a melody played before announcements are made in a kingdom. This is accompanied by a tambourine and a bass. The bass plays one note four times followed by a higher pitched note eight times and back to the first note once. After a three count rest, the bass phrase is repeated. This song can be played in a movie scene announcing the arrival of royalty.",0.0605,instrument:bass,0.7543,acestep_1_5,stable_audio_3,0.4639,0.2354,1,0.3024,0.3629,0.3550,0.3314,0.7055,0.7021,0.5957,0.5628
146,AJROvxlmo40,,"The low quality recording features suspenseful strings chords layered with a reversed crash riser, after which there is a flat female vocal talking. It sounds suspenseful and intense.",0.0627,instrument:crash riser,0.8817,stable_audio_3,acestep_1_5,0.1161,0.3904,1,0.2970,0.3402,0.2775,0.3279,0.7197,0.7508,0.7912,0.3908
147,Fh53p0Tnnxg,,"The clip is of traditional eastern sounds that would be found in India. We hear notes being played on a sitar, as well as an acoustic guitar. There's also a sustained buzzing instrument in the background which creates a relaxed atmosphere.",0.0668,mood_theme:relaxed,0.7243,acestep_1_5,musicgen_large,0.0693,0.6157,1,0.4883,0.5537,0.5274,0.4870,0.6675,0.8037,0.7137,0.7664
148,4ls_8xIjBzM,,"This music is instrumental. The tempo is medium with an electric guitar riff and the voice of a man giving instructions on electric guitar techniques. The music is loud, clear, amplified, vivid, emphatic and powerful. This is a tutorial/ lesson on electric guitar techniques.",0.0735,mood_theme:powerful,0.8655,stable_audio_3,acestep_1_5,0.3733,0.6116,1,0.1569,0.2144,0.2303,0.2009,0.7628,0.7707,0.7523,0.4961
149,AD5Tc2TDCmM,,"This song features a guitar playing a solo.  This is played in the style of a banjo in a bluegrass song. The guitar is playing fast licks. The bass plays the root note and lower fifth of the chords. A percussion plays a simple beat and ends with a crash. There are no voices in this song. This song is an instrumental song. Due to the low quality of the audio, other instruments cannot be identified. This song can be played in a bluegrass concert.",0.0750,instrument:percussion,0.6685,stable_audio_3,acestep_1_5,0.3999,0.2089,1,0.4057,0.3892,0.4511,0.3761,0.5672,0.6828,0.4390,0.5364
150,CRDDdjDinYc,,"A e-guitar takes the lead melody along with the hammond organ. The drums and the bass are providing a rock groove in the background. Another e-guitar is playing along with the bass on the lower notes, it's highly distorted and has some overdrive on it. The male singer streams and sings. His voice is full of reverb and delay. The whole recording is of poor quality. This song may be playing at an old bar.",0.0799,instrument:bass,0.8049,stable_audio_3,musicgen_large,0.0495,0.3488,1,0.1569,0.2368,0.2203,0.1734,0.5897,0.6917,0.7370,0.6857
151,-Vo4CAMX26U,,"The low quality recording features a low windpipe vocal sound played in nature, surrounded by flowing water and chirping birds sound effects. Sounds a bit harsh and loud, as the tone of the windpipe is constantly changing.",0.0804,context:nature,0.8806,stable_audio_3,acestep_1_5,0.2648,0.6354,1,0.2786,0.2659,0.3463,0.2803,0.6640,0.7422,0.7865,0.3470
152,hLn4HokDEmM,,"Audio from two songs of EDM music featuring four on the floor kick pattern, synthesized pan flute, syncopated synth chords sidechained to the kick, piano and hand percussion.",0.0811,genre:EDM,0.8663,stable_audio_3,acestep_1_5,0.6705,0.9325,1,0.3194,0.3260,0.3473,0.2662,0.7663,0.6425,0.6764,0.6209
153,A6ilKRqIDH4,,"The low quality recording features a DJ scratching a vinyl of an electro dub song that consists of uptempo hi hats, punchy kick and snare hits, short bass stabs, soft crash cymbal and simple synth melody. It sounds energetic, cool and groovy.",0.0821,instrument:synth,0.8175,acestep_1_5,meanaudio,0.7843,-0.0143,1,0.2437,0.3258,0.3171,0.3178,0.8701,0.8688,0.6636,0.7711
154,LkzyG2F8mTM,,This is an Arabian folk music piece. It is meant to be an accompaniment to a folk dance. There is an oud playing the melody while a tambourine is playing as the rhythmic background. This is an amateur recording of a live performance. The atmosphere is playful. This could be playing in the background at a Middle Eastern cuisine restaurant or at a hookah place.,0.0827,instrument:oud,0.7965,stable_audio_3,musicgen_large,0.1688,0.5964,1,0.2884,0.2899,0.3232,0.2405,0.8392,0.8681,0.8219,0.6164
155,eiyyoUt64Zc,,"a latin jazz ensemble performing in a recital hall. A trumpet solo is accompanied by acoustic bass, syncopated drums and piano. The rhythm is upbeat and danceable. You can hear the reverb of the recital hall as well as audience sounds, someone sneezing.",0.0833,context:recital hall,0.7543,musicgen_large,meanaudio,0.2605,0.1788,1,0.3089,0.3598,0.3098,0.2765,0.7074,0.8228,0.5418,0.7441
156,gb8PG-5i5YI,,"The song is an instrumental. The tempo is medium with a brass including trumpets and saxophones playing in harmony, wooden xylophones and Latin percussions play accompaniment to the band along with a male singer. The song is exciting and groovy. The audio quality is poor and probably a home recording.",0.0838,vocal:male vocal,0.8802,meanaudio,musicgen_large,0.9082,0.9850,1,0.2165,0.3002,0.2947,0.2736,0.7257,0.6969,0.9740,0.8110
157,k4ttuqKjiw0,,This audio contains a simple drum groove along with a bassline playing long notes. A piano and keyboard are playing chords and melodies panned to the left and right side of the speakers. Male voices are singing a melody together. Some in the mid and high range and one as a bass voice. This audio may be playing at a celebration event.,0.0850,instrument:piano,0.7575,acestep_1_5,musicgen_large,0.5904,0.7912,1,0.2946,0.2320,0.3171,0.2676,0.5758,0.8077,0.6743,0.7721
158,jx27p7k2lSw,,"An e-piano is playing a melody and chords with a lot of tremolo while thin, airy synth pads are playing long evolving sounds. A male voice is singing in a higher register with effects on his voice. It sounds like a voice sample. This song may be playing in a club.",0.0862,instrument:e-piano,0.7176,acestep_1_5,meanaudio,0.3520,0.7097,1,0.3540,0.2677,0.2973,0.2797,0.4551,0.5000,0.4570,0.4313
159,pIE-3sIPlvY,,This audio contains a song with a bass playing a repeating melody along with a digital drums being in the background and a synth pad sound in the higher register. Towards the end the song is getting louder. In the foreground you can hear motor racing sounds. This song may be playing for a youtube video.,0.0297,instrument:bass,0.9307,stable_audio_3,musicgen_large,0.5249,0.9275,0,0.2517,0.2364,0.2661,0.2368,0.5428,0.8920,0.8599,0.7039
160,by57LpTlGbs,,"This reggae song features a male voice singing vocals at a high pitch, almost screaming. This is accompanied by percussion playing a reggae beat. The bass plays a groovy lick and plays a chromatic run of five notes to reach the note to start the chorus. A guitar strums one chord on alternate counts. This song can be played in a Caribbean themed party.",0.0395,vocal:male vocal,0.9940,acestep_1_5,musicgen_large,0.7844,0.3427,0,0.5003,0.4865,0.5248,0.5260,0.8293,0.9919,0.9741,0.9750
161,Q8QXzYpl6Tw,,"This piece contains someone playing a trumpet, a clarinet and a horn all playing the same note in different octaves. The horn is playing a bassnote. This song may be playing live as a school concert.",0.0437,instrument:clarinet,0.9551,acestep_1_5,stable_audio_3,-0.1257,0.2486,0,0.4299,0.3866,0.3862,0.3911,0.7009,0.7451,0.7943,0.8537
162,ewI4q7_4TBQ,,"The song is a country rock song with a charged up, potent sound. The guitar is grungry, and gives punchy and gritty energy. The singer has a smooth voice and sings with charisma and suave charm.",0.0480,vocal:vocal,0.9493,meanaudio,stable_audio_3,0.8808,0.3482,0,0.2502,0.2209,0.2502,0.2022,0.7983,0.7955,0.9899,0.5924
163,x1S2oreZBWU,,This is an R&B/disco funk music piece. There are multiple layers of a female vocalist singing melodically. The melody is being played by the electric guitar while the bass guitar is playing a groovy bass line. There is a funky acoustic drum beat in the background. The atmosphere is hip and the piece is very danceable. The piece could be playing for a 70s night at a dance club.,0.0495,instrument:female vocal,0.9983,stable_audio_3,meanaudio,0.9529,0.6473,0,0.4022,0.3802,0.3919,0.3527,0.6814,0.9824,0.6171,0.5800
164,wLQiZ-0VW4c,,"This music is an electric guitar instrumental. The tempo is slow with an electric guitar harmony and a subdued, incoherent background score. This music is classic Rock.",0.0511,genre:rock,0.9561,stable_audio_3,acestep_1_5,0.6351,0.7381,0,0.2083,0.2579,0.2594,0.2449,0.9788,0.9909,0.9699,0.4121
165,At5v5ZZQHmw,,"The low quality recording features a live performance of R&B/Soul song and it consists of passionate female vocal singing alongside widely spread harmonizing female background vocals. It sounds passionate, emotional and heartfelt.",0.0518,vocal:female vocal,0.9907,stable_audio_3,musicgen_large,0.8905,0.9932,0,0.2748,0.2847,0.2329,0.2698,0.4251,0.9931,0.8465,0.9761
166,Pq1jBX0RW2k,,"This recording contains synth pads playing in the mid range, with added notes in the higher register playing a slow melody and also a padsound in the lower register serving as bass. The sound of waves and noises rising and falling like wind. Whales are singing at a higher pitch with a lot of reverb. This recording may be playing for a meditation session.",0.0561,mood_theme:calm,0.9947,musicgen_large,meanaudio,0.8069,0.6984,0,0.3201,0.3037,0.2640,0.2757,0.9959,0.9971,0.7938,0.9226
167,RIpfb9LSFe8,,"The rock music features a female voice singing a melody. The band that accompanies her consists of drums, bass guitar and electric guitar. The drums play a repetitive rhythm, the bass guitar also incorporates slides into its playing and the electric guitar plays a simple melody that's composed of repetitive notes.",0.0574,genre:rock,0.9666,meanaudio,acestep_1_5,0.7094,0.6745,0,0.3389,0.3258,0.2815,0.2892,0.7899,0.7918,0.7998,0.4254
168,e8xkukid_2o,,solo overdriven electric guitar playing arpeggios slowly through a tremolo effect. roots rock feel.,0.0640,genre:rock,0.9774,stable_audio_3,acestep_1_5,0.2296,0.8843,0,0.3368,0.4008,0.3964,0.3409,0.7339,0.9976,0.9813,0.3745
169,Ok-ia7ziJy0,,This song contains people strumming chords on acoustic guitars while a banjo and a mandolin are taking turns playing a lead melody. In the background you can hear an upright bass playing a fitting bassline. This song may be playing live while having a BBQ with friends.,0.0654,instrument:acoustic guitar,0.9510,stable_audio_3,meanaudio,0.7038,-0.3305,0,0.3775,0.3419,0.3469,0.3121,0.8206,0.9080,0.6692,0.6909
170,eiFyXXqd9Rk,,This is a live acoustic performance of a rock music song. There is a male vocalist singing at a medium-to-high pitch in a melodic manner while two acoustic guitars are carrying the background with a simple tune composed of only four chords. The music might be played at a bar in the background.,0.0655,vocal:male vocal,0.9951,stable_audio_3,acestep_1_5,0.9139,0.9800,0,0.2954,0.2604,0.3260,0.2919,0.5020,0.9793,0.4939,0.5071
171,NxpnW_IdkSY,,The low quality recording features a live performance of a country melody on an acoustic rhythm guitar. There are some camera shuttering and beeping sounds in the background.,0.0670,instrument:acoustic rhythm guitar,0.9195,stable_audio_3,acestep_1_5,0.0599,0.1700,0,0.4545,0.4232,0.4069,0.3875,0.5919,0.9500,0.4565,0.0481
172,Uvn7waPvseo,,This is an instrument showcase jam. It is an electronic music piece played on a drum machine. There is a booming electronic drum beat in the rhythmic background. There is a medium-to-high pitch melodic pad repeating the same tune. The sound of the piece is crisp and loud. This piece could be used in the soundtrack of a fast-paced video game in the arcade genre. It could also be playing in the background during breaks at a sports venue.,0.0694,instrument:melodic pad,0.9761,acestep_1_5,stable_audio_3,0.0578,0.4087,0,0.3139,0.3019,0.2446,0.3038,0.9882,0.8193,0.9662,0.9721
173,DGlP6oTqe5Y,,"A male vocalist sings this energetic song. The tempo is fast with synthesiser arrangements, digital drumming and tambourine beats along with an incessant catchy vocal riff and vocalisation. The music is buoyant, energetic,enthusiastic , pulsating, punchy and groovy. This song is Techno Pop.",0.0707,vocal:male vocal,0.9730,stable_audio_3,musicgen_large,0.8572,0.5891,0,0.2907,0.3614,0.3204,0.3150,0.7691,0.9725,0.8486,0.8782
174,BquHBzP5Ep0,,"The song feels cinematic and momentous. It's an orchestral piece with string instruments, and then with an electric guitar lick. The emotion is gripping and a little sombre.",0.0710,mood_theme:sombre,0.9919,musicgen_large,acestep_1_5,0.3772,0.1746,0,0.2452,0.2789,0.2318,0.2079,0.7696,0.7752,0.7900,0.4610
175,26HLgXWF-Co,,This audio contains someone playing a classical melody on an acoustic guitar using fingerstyle. This audio is full of reverb. This song may be playing at a talent show.,0.0713,genre:classical,0.9063,meanaudio,acestep_1_5,0.3823,-0.0092,0,0.3568,0.3949,0.4281,0.3736,0.7098,0.7703,0.9915,0.5408
176,S2yXmXUJ5xU,,"This is a flamenco music piece. The only instrument being played is an acoustic guitar. The acoustic guitar is playing exotic tunes. There is a sensual atmosphere. This piece could be used in the soundtrack of a romance movie, especially during the more intimate scenes.",0.0717,genre:flamenco,0.9144,stable_audio_3,acestep_1_5,0.5530,0.3066,0,0.3954,0.4377,0.4396,0.3679,0.9826,0.9935,0.9945,0.6884
177,1JwoLPCIGhs,,"The low quality recording features a cover of a blues song and it consists of subtly strummed, acoustic rhythm guitar, followed by electric guitar solo melody. It sounds passionate, easygoing and cool - like something you would hear in high end bars or blues clubs. The recording is a bit noisy.",0.0725,instrument:electric guitar,0.9148,meanaudio,musicgen_large,0.3423,0.9230,0,0.3329,0.2604,0.3108,0.3202,0.6462,0.8583,0.9306,0.8629
178,TdHdD1wxu_0,,The music features a calm male voice singing a short melody. An acoustic guitar is accompanying the singer and playing chords throughout the music excerpt. In the background car horn-like sounds can be heard playing long notes. The overall atmosphere is calming.,0.0732,vocal:male vocal,0.9785,meanaudio,acestep_1_5,0.9610,0.9965,0,0.3173,0.3639,0.3183,0.2907,0.4668,0.5608,0.7514,0.4964
179,hpiFoinUgvY,,"The Latin/African song features a flat, echoing male vocals singing over exotic percussive elements and groovy bass. It sounds easygoing and low quality as it is recorded in mono and the vocals are kind of distorted.",0.0741,vocal:male vocal,0.9957,meanaudio,acestep_1_5,0.9590,0.9961,0,0.2389,0.2536,0.2689,0.3130,0.7286,0.6601,0.9850,0.7223
180,RS43EP1EXz4,,This is an acoustic piece. There is a male vocalist singing melodically. There is a simple tune being played on a ukulele. The atmosphere of the piece is easygoing. This piece could be used in the background of wholesome social media content.,0.0755,vocal:male vocal,0.9811,stable_audio_3,acestep_1_5,0.8578,0.9189,0,0.4573,0.4739,0.4704,0.5328,0.7499,0.9953,0.9878,0.7456
181,b1j-hD9zs6Q,,Someone is playing a flute in the mid to high range taking the lead-melody accompanied by a piano playing along and spicing up the melody. An e-bass is building the foundation together with an acoustic drum being played in the background with fill-ins on the toms. This song may be playing at the end of an emotional movie.,0.0770,instrument:acoustic drum,0.9237,musicgen_large,meanaudio,0.4528,0.7593,0,0.4501,0.4767,0.4085,0.4854,0.7579,0.6399,0.5000,0.5661
182,DQrdOgRb-oA,,This is an ambient/electronica music piece. It is an instrumental piece. There is a granular synth playing a vague sounding melody while a warp effect enters and a piano starts playing gently. There is a nostalgic and melancholic feel to it. This piece could be playing in the soundtrack of a drama movie during a scene where the feeling of regret is emphasized.,0.0794,instrument:piano,0.9039,acestep_1_5,musicgen_large,0.6381,0.7741,0,0.2409,0.2623,0.3032,0.3204,0.8386,0.8170,0.8282,0.9658
183,Wvg5rlMbjJc,,"This is a pop punk music piece. There is a fast-paced distorted electric guitar playing the main tune. A bass guitar is supporting it in the background. The rhythm is being played by a loud acoustic drum beat. The atmosphere is rebellious and aggressive. This piece could be used in the soundtrack of a high school drama TV series, especially during scenes where acts of delinquency are committed.",0.0804,mood_theme:aggressive,0.9525,meanaudio,acestep_1_5,0.9169,0.9358,0,0.3228,0.3207,0.2540,0.2424,0.9766,0.9702,0.9385,0.7980
184,crToMuDxmL8,,"This music is a lively country music instrumental. The tempo is fast and upbeat with a banjo, and an instrument that sounds like a fiddle. The instrument is like pedal steel being played like a fiddle.the music is vibrant, vigorous, vivacious, cheerful, happy, sunny, happy and upbeat. This music is classic Country Pop.",0.0814,instrument:banjo,0.9893,meanaudio,stable_audio_3,0.5963,0.4332,0,0.4137,0.3750,0.3865,0.4564,0.9792,0.7734,0.9991,0.9921
185,vG0FGgJlDGw,,This instrumental song features a tuba and a clarinet. The tuba plays the bass part of the song. The clarinet plays the high notes. This song does not have any voices. There is no percussion in this song. This song can be played in a comedy movie.,0.0828,instrument:tuba,0.9548,meanaudio,acestep_1_5,-0.1363,0.6667,0,0.3638,0.3320,0.3077,0.2810,0.5901,0.7125,0.8845,0.4291
186,j3lH_Tevw5o,,A male ukulele player plays this emotional solo. The song is medium tempo with no other instrumentation than an ukulele playing. The song is emotional and poignant. The song is an instrumental tune.,0.0842,genre:instrumental,0.9662,musicgen_large,meanaudio,0.7913,0.9196,0,0.4444,0.5286,0.4453,0.5104,0.9773,0.7953,0.7425,0.8162
187,LYO7_GxyaZc,,"The low quality recording features a regional Mexican song that consists of a flat male vocal singing over groovy trombone, shimmering shakers, short brass melody and wooden percussive elements. It sounds emotional, passionate and happy.",0.0855,vocal:male vocal,0.9946,meanaudio,acestep_1_5,0.4773,0.9628,0,0.3923,0.3630,0.3131,0.3986,0.7999,0.8558,0.9003,0.7371
188,pHzjKCj9INw,,This is an instrumental piece carrying the characteristics of Carnatic music. An acoustic guitar is being played sideways to reach the musical effect of a tambura. The piece could be used as a soundtrack in movies/shows that take place in India.,0.0855,genre:Carnatic music,0.9239,musicgen_large,meanaudio,0.4577,-0.2310,0,0.4788,0.3994,0.3933,0.3968,0.8408,0.6610,0.3695,0.4835
189,MPe6ztPtF0Y,,"happy music featuring a solo acoustic strummed guitar playing open chords, quiet male singing, and a bird chirping in the background.",0.0862,mood_theme:happy,0.9195,acestep_1_5,meanaudio,0.6244,-0.0622,0,0.2798,0.3571,0.2709,0.3473,0.6376,0.6351,0.3433,0.6443
190,O25IKwo2HkE,,"This music is instrumental. The tempo is fast with an enthusiastic flute harmony and bassoon accompaniment. The music is upbeat, catchy, engaging, vivacious, melodic, cheerful, happy and pleasant. This music is an upbeat classical instrumental.",0.0870,genre:classical,0.9832,stable_audio_3,acestep_1_5,0.4523,0.8836,0,0.4355,0.5226,0.4814,0.4463,0.9114,0.9834,0.9643,0.8460
191,9A4VNkMdwhk,,"The low quality recording features a live performance of an instrumental folk song that contains sitar guitar melody and boomy bass. There are some background clapping sounds, probably from a crowd, by which we can conclude that it is in fact a live performance. It sounds like it was recorded with a phone.",0.0305,context:crowd clapping,0.8109,musicgen_large,acestep_1_5,0.2820,-0.0479,0,0.0891,0.0929,0.1165,0.0860,0.6594,0.6966,0.5553,0.6087
192,PcdpjUIa8l0,,someone is masterfully scratching over an instrumental containing percussive elements with strings/sounds and a bass note on the kick. This audio is an amateur recording.,0.0315,instrument:strings,0.7941,stable_audio_3,meanaudio,0.5327,0.0151,0,0.1105,0.1126,0.1420,0.1373,0.6678,0.8206,0.6628,0.7638
193,bpaq5wQKOkU,,"This is a music production tutorial video. There is a male voice teaching a sound design technique. There is an electronic snare drum beat speeding up with a shifting pitch. A simple synth tune is playing in the background. The sounds used in the video are very common, so it would not be worth the hassle to sample these sounds. Instead, parts of the track could be used in advertisement jingles.",0.0399,instrument:synth,0.8511,musicgen_large,meanaudio,0.8640,0.8573,0,0.2843,0.2452,0.2852,0.2466,0.7069,0.7183,0.6201,0.6970
194,cjTrK-kA6x0,,"The low quality recording features a short snippet of breathy flute melody at the beginning of the loop, followed by birds chirping and water flowing sounds, due to the fact that it was recorded outdoors. The recording is noisy and in mono.",0.0494,instrument:flute,0.7038,acestep_1_5,stable_audio_3,0.7596,0.1445,0,0.2648,0.3137,0.2870,0.2643,0.9693,0.6470,0.9856,0.9911
195,6og50XOZeIk,,"This jazz song features percussion playing a fast tempo beat. This is accompanied by a double bass playing the bass part of the song. There are no voices in the song. This is an instrumental song. After the music pauses, a male voice narrates his part. This song can be played in a movie involving a bank robbery.",0.0516,genre:jazz,0.8732,meanaudio,musicgen_large,0.2673,0.1239,0,0.2704,0.3187,0.3220,0.3191,0.6464,0.9225,0.8323,0.7401
196,9x7jWb4lE7c,,This is an instrument showcase jam. There is an electric guitar with a mellow sound strumming simple chords. The atmosphere is easygoing. Parts of this piece can be used as an advertisement jingle. It could also be sampled for use in beat-making.,0.0565,context:advertisement jingle,0.7128,stable_audio_3,meanaudio,0.5232,0.0805,0,0.4078,0.4643,0.4355,0.4407,0.9098,0.9622,0.8047,0.9522
197,Xm2ciX0_UP8,,"The low quality recording features an alternative/indie song that consists of arpeggiated synth keys, growl synth bass, mellow synth bells melody and synth pad chords. It sounds chill and easygoing.",0.0605,instrument:synth bass,0.8640,meanaudio,acestep_1_5,0.2668,0.1480,0,0.2403,0.3008,0.2580,0.2683,0.8550,0.7820,0.8617,0.8189
198,uCXI7dgABHI,,"The low quality recording features a groovy cajon percussion, electric guitar chords and groovy synth bass. It sounds groovy and funky.",0.0640,instrument:cajon,0.8274,musicgen_large,meanaudio,0.2295,0.0448,0,0.3314,0.3227,0.2675,0.3190,0.8197,0.7456,0.6240,0.7112
199,ApDJYsi9UGg,,"This audio clip is a harmonica melody with vocalisation.The music is dissonant with the sound of a dog howling/whining to the rhythm of the harmonica. It is sweet, entertaining and adorable.",0.0642,vocal:vocalisation,0.8762,meanaudio,acestep_1_5,0.8068,0.9140,0,0.3538,0.3802,0.4180,0.3609,0.8685,0.8347,0.8586,0.7957
200,8zCZzzAaC4I,,"This is an opera song that's recorded at a very low quality. The vocal audio is distorted and creates some fuzzy sounds, and the string instruments are muffled. The song is an uplifting, emotional song.",0.0652,mood_theme:uplifting,0.5586,acestep_1_5,meanaudio,0.6551,0.3496,0,0.4368,0.3716,0.3996,0.3918,0.3889,0.4113,0.4041,0.5359
201,ib8pMT_ug7o,,"The low quality recording features an electric guitar melody. It sounds mellow, chill and easygoing.",0.0653,instrument:electric guitar,0.8667,stable_audio_3,acestep_1_5,0.4575,-0.7131,0,0.2772,0.3425,0.3421,0.2929,0.7830,0.9997,0.9997,0.7830
202,ABSLnckbB8w,,This is an ambient house music piece. There is no singer in the music. There are various resonating synth sounds used with ambient sound effects. Electronic drum hits can be heard reverberating in the piece. The atmosphere is airy. The best use for this piece would be either as an advertisement jingle or as a background music for a tutorial/instructive video.,0.0660,context:advertisement jingle,0.7306,stable_audio_3,meanaudio,0.6067,0.3355,0,0.2721,0.3381,0.2933,0.3290,0.8542,0.9702,0.7950,0.9585
203,dIPW9gLGSx8,,This is a Russian hardbass piece played in the background of a scissor sharpening video. The piece has a repeated theme being played by a synth bass while an electronic drum beat holds the rhythmic background. The atmosphere of the piece in the background is aggressive with industrial characteristics.,0.0665,instrument:electronic drum,0.6486,stable_audio_3,acestep_1_5,0.2467,0.6118,0,0.2775,0.3381,0.2716,0.3318,0.7731,0.9320,0.9614,0.7980
204,M0ygCD6WyXw,,"This clip consists of a blowing horn being played. The horn's sound creates the feeling of an impending battle, and is reminiscent of the middle ages.",0.0674,context:middle ages,0.7912,musicgen_large,acestep_1_5,0.1621,0.1775,0,0.3512,0.3541,0.3252,0.3925,0.9621,0.7464,0.8318,0.6476
205,We-bFXFjWaM,,"The low quality recording features a percussive shoe tapping over hip hop beat playing in the background. The beat consists of shimmering shakers, hard 808 bass and punchy snare. At one point the shoe tapper gets a little bit sloppy. It sounds a bit muffled, boomy and reverberant.",0.0688,instrument:shoe tapping,0.8906,meanaudio,stable_audio_3,-0.0627,0.6846,0,0.4099,0.4246,0.4239,0.3558,0.8246,0.7338,0.8769,0.8567
206,YAVVMxqtxGE,,"The low quality recording features a tutorial that consists of a flat male vocal talking, after which there are a few different pitch cowbell one shots. The recording is in mono and it is noisy.",0.0699,instrument:cowbell,0.8667,stable_audio_3,meanaudio,0.5234,0.9621,0,0.1924,0.2205,0.2298,0.1599,0.3429,0.5007,0.1198,0.1324
207,hnlVKC7rxdg,,This symphonic song features french horns playing in harmony. The notes played are descending and they finally fade away. There are no other instruments in this song. There are no voices in this song. This song can be played in a dream sequence in a movie.,0.0703,instrument:french horns,0.7546,stable_audio_3,acestep_1_5,0.1051,0.4841,0,0.4053,0.4019,0.3841,0.3351,0.9903,0.9956,0.9946,0.7324
208,eM0PkfqGmIE,,The song is an instrumental. The song is medium fast tempo with a bass guitar soloist playing a cool accompaniment groove with no other instrumentation. The song is passionate and energetic. The song is a bass guitar demo or a home music video.,0.0741,mood_theme:passionate,0.8817,meanaudio,acestep_1_5,0.1417,0.2708,0,0.2090,0.2031,0.2199,0.1459,0.9120,0.7444,0.9598,0.8102
209,1LA64TXatWk,,This audio contains someone scratching to a backing drumtrack. This song may be playing at home demonstrating an app to someone.,0.0802,context:demonstrating an app at home,0.6890,acestep_1_5,meanaudio,0.2931,-0.2623,0,0.2162,0.2533,0.2889,0.2087,0.9315,0.8853,0.6230,0.9735
210,J9PJI1UwIQ4,,"The song is an instrumental. The song is medium tempo with various percussion hits, groovy bass line, steady drumming rhythm and keyboard playing beep tones. The song is experimental and groovy. The song is modern electronic dance music with a poor audio quality recording.",0.0814,genre:electronic dance music,0.7543,meanaudio,stable_audio_3,0.5080,0.8889,0,0.2775,0.3431,0.3235,0.3588,0.8222,0.7449,0.9446,0.8433
211,DpS_TigOHWo,,This is the recording of a gear showcase jam. The only instrument being played is an electric guitar. There is a solo being played while a reverb effect pedal is in use. The atmosphere is easygoing and the tunes are simple. Parts of this piece could be used as samples for beat-making. These samples could also work well for advertisement jingles.,0.0826,context:advertisement jingles,0.7288,acestep_1_5,meanaudio,0.2738,0.0225,0,0.3745,0.4362,0.4089,0.3537,0.8396,0.9566,0.8284,0.9734
